true_class / predicted_class,OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK
128APSK,0.5380483774038461,0.07042518028846154,1.3869065504807692,1.7240084134615383,1.2094350961538463,0.9418194110576924,0.8657602163461539,4.428335336538462,1.8902118389423077,4.8095703125,3.5588191105769234,57.26881760817307,0.6807767427884615,1.0976938100961537,1.4413686899038463,0.6901667668269231,1.0648287259615383,1.2545072115384617,0.7342998798076923,4.086538461538462,0.15211838942307693,4.228327824519231,3.3174954927884617,2.5597205528846154
16QAM,0.5305363581730769,0.0732421875,1.35498046875,1.7033503605769231,1.3746995192307692,1.0103665865384617,0.8864182692307692,4.556039663461538,3.1869741586538463,3.25927734375,1.5099158653846154,2.363469050480769,57.33079176682693,1.2807992788461537,1.611328125,0.52490234375,0.8901742788461539,1.1962890625,0.7014347956730769,4.30908203125,0.16432542067307693,4.213303786057692,3.2217172475961537,2.74658203125
32QAM,0.5680964543269231,0.0732421875,1.3803335336538463,1.683631310096154,1.2732872596153846,1.1014498197115383,0.8713942307692308,4.484675480769231,3.30810546875,3.45458984375,3.0066856971153846,2.8911884014423075,1.0714017427884617,54.838679387019226,1.4451246995192308,1.2347881610576923,0.7897010216346154,1.239483173076923,0.7314828725961539,4.181377704326923,0.15587439903846154,4.207669771634615,3.2883864182692304,2.7193509615384617
64QAM,0.5502554086538461,0.06009615384615385,1.3718825120192308,1.7296424278846152,1.2131911057692308,0.908954326923077,0.9249173677884616,4.403921274038462,2.086463341346154,3.965407151442308,1.8413837139423077,3.6198542668269234,1.4122596153846154,1.4122596153846154,51.24605618990385,2.934382512019231,4.048978365384615,1.2451171875,0.6638746995192308,4.178560697115385,0.17371544471153846,4.212364783653847,3.245192307692308,2.55126953125
128QAM,0.5474384014423077,0.07136418269230768,1.3906625600961537,1.7991286057692308,1.3089693509615383,0.9868915264423076,0.8263221153846154,4.435847355769231,2.6160606971153846,3.627366286057692,3.126878004807692,3.4733698918269234,1.1221078725961537,2.6395357572115383,2.076134314903846,51.69396033653846,1.781287560096154,1.215069110576923,0.69580078125,4.167292668269231,0.15587439903846154,4.275277944711538,3.3015324519230766,2.665827824519231
256QAM,0.5624624399038461,0.06197415865384615,1.3916015625,1.69677734375,1.25732421875,0.8807842548076924,0.885479266826923,4.323167067307692,1.98974609375,4.210486778846153,1.421649639423077,3.721266526442308,1.26953125,1.1972280649038463,5.595515324519231,6.55517578125,46.53883713942308,1.2901893028846154,0.7342998798076923,4.171987680288462,0.1708984375,4.191706730769231,3.2470703125,2.6348407451923075
AM-SSB-WC,1.9427959735576923,1.1117788461538463,2.784142127403846,0.6403996394230769,0.4159780649038462,0.3399188701923077,0.4356971153846154,1.795372596153846,0.3915640024038462,0.14366736778846154,0.030048076923076924,0.17183743990384615,0.0244140625,0.03662109375,0.31644381009615385,0.0037560096153846155,0.04413311298076923,65.80904447115384,17.549954927884613,2.2967998798076925,0.15117938701923078,2.607609675480769,0.7333608774038461,0.2234825721153846
AM-SSB-SC,1.9587590144230769,1.1474609375,2.7972881610576925,0.6272536057692308,0.4009540264423077,0.3624549278846154,0.4065880408653846,1.905235877403846,0.3586989182692307,0.14272836538461536,0.030987079326923076,0.18592247596153846,0.028170072115384612,0.038499098557692304,0.3230168269230769,0.0037560096153846155,0.04319411057692307,33.12330979567308,50.10047325721154,2.293982872596154,0.16432542067307693,2.601036658653846,0.7296048677884615,0.2262995793269231
AM-DSB-WC,0.2976637620192307,0.030048076923076924,1.0225736177884617,0.87890625,0.4957932692307692,0.3662109375,0.45166015625,2.168156550480769,0.5155123197115385,0.2619816706730769,0.03662109375,0.20000751201923075,0.030048076923076924,0.056340144230769225,0.4187950721153846,0.006573016826923077,0.03756009615384616,1.055438701923077,0.45166015625,81.70166015625,3.541917067307692,4.665902944711538,0.9446364182692308,0.3643329326923077
AM-DSB-SC,0.2544696514423077,0.033804086538461536,1.0216346153846154,0.8817232572115384,0.4563551682692308,0.3887469951923077,0.3915640024038462,2.1822415865384617,0.537109375,0.3089317908653846,0.04225510817307693,0.20845853365384615,0.026292067307692308,0.04788912259615384,0.4356971153846154,0.010329026442307692,0.040377103365384616,1.092059795673077,0.4234900841346154,46.03553185096153,39.21555739182692,4.740084134615385,0.884540264423077,0.34085787259615385
FM,0.25353064903846156,0.05070612980769231,1.0235126201923077,0.8272611177884616,0.4253680889423077,0.3849909855769231,0.4676231971153846,2.1390474759615383,0.4770132211538462,0.2854567307692307,0.040377103365384616,0.2178485576923077,0.03192608173076923,0.05540114182692307,0.38123497596153844,0.01220703125,0.045072115384615384,1.1681189903846154,0.4835862379807692,4.534442608173077,0.18310546875,85.24263822115384,0.8882962740384616,0.38123497596153844
GMSK,0.5624624399038461,0.06479116586538461,1.409442608173077,1.770958533653846,0.9634164663461539,0.7277268629807692,0.8676382211538461,4.269643930288462,0.9540264423076924,0.799091045673077,0.10986328125,0.6995567908653846,0.08544921875,0.15399639423076922,0.823505108173077,0.04225510817307693,0.22066556490384615,1.2958233173076923,0.7352388822115385,4.251802884615385,0.18592247596153846,4.293118990384615,73.45064603365384,1.262958233173077
OQPSK,0.5643404447115385,0.06197415865384615,1.3540414663461537,1.7418494591346152,1.3540414663461537,1.0667067307692308,0.8836012620192308,4.47998046875,1.3512244591346154,1.8132136418269231,0.2422626201923077,0.9014423076923076,0.12770432692307693,0.2300555889423077,0.9258563701923076,0.146484375,0.4197340745192308,1.2469951923076923,0.6920447716346154,4.207669771634615,0.14178936298076922,4.388897235576923,3.0855618990384617,68.57252854567307
